Tape_nr,Programtittel,Tid,Dato,Format,Innhold,Personer,Produsent,Rettigheter,Oppdragsgiver,Generasjon,Merknader,Column,Column 14,Column 15
0001,Spelemenn på fele,01:50:00,Sat Sep 01 00:00:00 CET 1979,BetacamSP90,"Intro om spelemenn på Bilde og Lyd av Tellef Kvifte med slåttar av Halvor Sørsdal, Ungdomsgruppa i Hardanger, Lars Velure,","Tellef Kvifte, Halvor Sørsdal, Lars Velure",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2.Dub,,,,
0002,Spelemenn på fele,01:50:00,Mon Sep 03 00:00:00 CET 1979,BetacamSP90,"Spelemenn: Halvor Sørsdal og  Soltvedt, Nils Furnes, Anders Kjærland.","Halvor Sørsdal, Nils Furnes, Anders Kjerland",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2.Dub,,,,
0003,Spelemenn på fele,01:50:00,Wed Dec 05 00:00:00 CET 1979,BetacamSP90,"Spelemenn, Anders Kjerland i samtale med Solberg 7.12.1979. Finn Vabø 5.12.1979, Gunnar Dahle, ","Anders Kjerland, Finn Vabø, Gunnar Dahle, Solberg",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2.Dub,,,,
0004,Spelemenn på fele,01:50:00,Sat Dec 08 00:00:00 CET 1979,BetacamSP90,"Spelemenn: Lars Skjervheim 8.12.1979, Einar Spildo i Granvin 12.8.1980, Kristoffer Kjerland i Granvin 12.8.1980.","Lars Skjervheim, Einar Spildo, Kristoffer Kjerland",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2.Dub,,,,
0005,Spelemenn på fele,01:50:00,Tue Aug 12 00:00:00 CEST 1980,BetacamSP90,Spelemenn Anders Kjerland og Håvard Kvandal spiller og samtaler. Nærbilder av feler,"Kristoffer Kjerland, Olav Kvammen, Håvard Kvanndal, Anders Kjerland, Anfinn Kvammen, Leif Hjelmeland",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2.Dub,,,,
0006,Spelemenn på fele,01:50:00,Wed Aug 13 00:00:00 CEST 1980,BetacamSP90,"Spelemenn Leif Hjelmevoll, Anfinn Kvammen, Lars Velure, Daniel Jordal","Leif Hjelmevoll, Anfinn Kvammen, Lars Velure, Daniel Jordal",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2.Dub,,,,
0007,Spelemenn på fele,01:50:00,Thu Aug 14 00:00:00 CEST 1980,BetacamSP90,Spelemenn,"Daniel Jordal, Torleiv H. Bjørgum, Øvinger",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2.Dub,,,,
0008,Spelemenn på fele,01:50:00,Mon Aug 23 00:00:00 CEST 1982,BetacamSP90,Spelemenn,"Johannes Fenne, Leif Rygg, Olav Selland",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2.Dub,,,,
0009,Spelemenn på fele,01:50:00,Tue Aug 24 00:00:00 CEST 1982,BetacamSP90,"Spelemenn, Dagestadstua på Voss med Anders Kjerland og Olav Selland, Liv Rumohr, Bjarne Mæland, Inger Fletre, Monica Amundsen, Steinar Rygg, Tone Rørlien","Olav Selland, Liv Rumohr, Bjarne Mæland, Inger Fletre, Monica Amundsen, Steinar Rygg, Tone Rørlien",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2.Dub,,,,
0010,Spelemenn på fele,01:50:00,Thu Aug 26 00:00:00 CEST 1982,BetacamSP90,"Spelemenn, Dagestadstua på Voss med Anders Kjerland og, Lars Skjervheim spiller til dans for dansepar i bunader","Lars Skjervheim, Knut Hamre, Anders Kjerland",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2.Dub,,,,
0011,Spelemenn på fele,01:50:00,Thu Aug 26 00:00:00 CEST 1982,BetacamSP90,"Kveldssete på Voss i Dagestadmusèet, Folkemusikkfest i Grieghallen (forts. fra tape nr 0013)","Knut Hamre, Håvard Kvandal",Tellef Kvifte,Bjørndalssamlingen,Bjørndalssamlingen,2.Dub,,,,
0012,Kjømeistertradisjoner ,01:50:00,Sat Mar 06 00:00:00 CET 1982,BetacamSP90,14.1.1981 Kjømeistertradisjonar i Hardanger før og no. Folkemusikkfest i Grieghallen forts,"Sigurd Eide, Steffen Eide",Tellef Kvifte,Bjørndalssamlingen,Wigdis Espelenad,2.Dub,,,,
0013,Arne Bjørndals fest,01:50:00,Sat Mar 06 00:00:00 CET 1982,BetacamSP90,"Folkemusikkfest i Grieghallen, Arne Bjørndals fest",Arne Bjørndal,Tellef Kvifte,Bjørndalssamlingen,Wigdis Espelenad,2.Dub,,,,
1010,I faresonen,,Wed Jun 16 00:00:00 CEST 1982,U-MaticLB,I faresonen. Et lyd og bildeprogram om stoffmisbruker. (Lysbildeprogram overført til video),,Marianne Giske,,,,,,,
1015,Soge om Gunnlaug Omrstunge,00:22:00,Wed Jan 01 00:00:00 CET 1986,U-MaticLB,Soge om Gunnlaug Ormstunge. Skuespill av elever fra videregående skole. Ped. Sem.,Odd Sætre,Arnt Brandseth,,,,,,,
1064,......aa ud i engen. Botanisk institutt 100 år.,00:21:00,Thu Jul 31 00:00:00 CEST 1986,U-MaticLB,"Jubileumsvideo for Botanisk Institutt 100 år. Botanikerne forvalter et rikt kildemateriale som gir oss kunnskap om natur- og kulturhistorie, og gir oss indikatorer på endringer i naturmiljø og livsmiljø som følge av forurensing m.m.",,"Knut Midttun, Arn Brandseth",UMS,Botanisk institutt,Master,NRK,,,
1072,Fosterforeldre,00:46:00,Fri Nov 01 00:00:00 CET 1985,U-MaticLB,Fosterforeldre,Magne Raundalen,Stein Isaksen,Magne Raundalen,,Dub,,,,
1073,"5 program om ""Tannhelse for eldre pleietrengende pasienter"".",5x7,Wed Jan 01 00:00:00 CET 1986,U-MaticLB,1: Kosthold på institusjoner. Faktorer som har betydning for tannhelsen. 2: Munnhygiene hos pleietrengende og oppegående pasienter med egne tenner. 3: Forskjellige problemer med tannproteser. 4: Munnhygiene hos pleietrengende og   sengeliggende med egne,,Arnt Brandseth,UMS,,Master,,X Frode,,A1203 dropouts
1076,Møte i norsk universitetsråd,,Tue Dec 03 00:00:00 CET 1985,U-MaticLB,Møte kollegierom,,Arnt Brandseth,UMS,,Master,,,,
